Sakai	0.01	8	NA	54984	280471688	4285.15	6129	12495	15680
Sakai	0.01	11	NA	54984	3494775	2.25	16	3647707	3238811
Sakai	0.01	15	NA	54984	103228888	19.72	36	929784	913521
Sakai	0.01	21	NA	54984	199585070	37.65	58	525026	548762
Sakai	0.001	8	NA	5498	224451755	3429.26	4933	17178	21153
Sakai	0.001	11	NA	5498	1895444	1.68	13	5836330	5106447
Sakai	0.001	15	NA	5498	110413369	21.09	35	1328264	1330582
Sakai	0.001	21	NA	5498	244436924	46.11	67	750039	812884
U_Sakai	0.01	8	NA	262090	5554670710	84769.19	100227	4347	5250
U_Sakai	0.01	11	NA	256592	76567800	25.19	122	2863900	3054308
U_Sakai	0.01	15	NA	249261	13544187	2.44	16	21537410	14779872
U_Sakai	0.01	21	NA	238264	15618869	2.39	14	19963100	15723835
U_Sakai	0.001	8	NA	26209	6478024596	98860.39	116580	5310	6383
U_Sakai	0.001	11	NA	25659	43472582	14.79	82	4124014	4670042
U_Sakai	0.001	15	NA	24926	6854625	1.85	11	30630984	23296441
U_Sakai	0.001	21	NA	23826	7735857	1.77	11	31940958	24523704
melanogaster	0.01	15	NA	1425388	354503110	3.57	26	156193091	71232127
melanogaster	0.01	21	NA	1425242	2701197708	22.16	82	30511572	18296562
melanogaster	0.01	27	NA	1425095	3500776960	28.32	68	30205012	18650580
melanogaster	0.01	32	NA	1424973	3449805491	27.70	65	28608300	18949929
melanogaster	0.001	15	NA	142539	195897083	2.15	13	260321828	110760063
melanogaster	0.001	21	NA	142524	3620319195	29.70	57	43587960	27549844
melanogaster	0.001	27	NA	142510	3763240245	30.44	55	43150016	27036881
melanogaster	0.001	32	NA	142497	3707852117	29.77	57	40869000	27474939
raimondii	0.01	15	NA	7271326	529017095	2.59	70	668601344	296876242
raimondii	0.01	21	NA	7269142	2405593244	4.43	42	635565600	271164822
raimondii	0.01	27	NA	7266959	3653109186	6.05	43	499827622	229211001
raimondii	0.01	32	NA	7265139	4588950561	7.26	34	446551798	204828665
raimondii	0.001	15	NA	727133	324621610	1.87	26	1069762152	468275991
raimondii	0.001	21	NA	726914	2614246941	4.80	19	907950855	402685249
raimondii	0.001	27	NA	726696	4062911455	6.73	22	714039454	338473119
raimondii	0.001	32	NA	726514	5954947765	9.42	22	637931140	308126186
GRCh38	0.01	15	NA	29348603	1837592408	4.43	336	1775854364	652258385
GRCh38	0.01	21	NA	29348536	30384017566	13.06	126	1345631756	498773412
GRCh38	0.01	27	NA	29348468	47531517518	19.14	92	964547541	392471259
GRCh38	0.01	32	NA	29348413	55861013970	21.76	104	836525146	363569316
GRCh38	0.001	15	NA	2934860	1811151451	4.00	58	2486196106	980827953
GRCh38	0.001	21	NA	2934854	34977148381	15.03	36	1922331078	739531040
GRCh38	0.001	27	NA	2934847	63640487293	25.63	47	1377925056	594468539
GRCh38	0.001	32	NA	2934841	75034685430	29.23	53	1195035927	545641817
